shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
TRA_00000,49.5774307250977,17.2308406829834,1,
TRA_00000,49.5774841308594,17.2311382293701,2,
TRA_00000,49.5767402648926,17.2335033416748,3,
TRA_00000,49.5775184631348,17.2383403778076,4,
TRA_00000,49.580638885498,17.239990234375,5,
TRA_00000,49.5852317810059,17.2424392700195,6,
TRA_00000,49.5879096984863,17.2439498901367,7,
TRA_00000,49.5893211364746,17.2453498840332,8,
TRA_00000,49.5913696289063,17.2485694885254,9,
TRA_00000,49.5917015075684,17.2493305206299,10,
TRA_00000,49.5898284912109,17.2526798248291,11,
TRA_00000,49.5893211364746,17.2536392211914,12,
TRA_00000,49.5895500183105,17.2532196044922,13,
TRA_00000,49.5891990661621,17.2539806365967,14,
TRA_00000,49.588680267334,17.2560291290283,15,
TRA_00000,49.5896415710449,17.2628498077393,16,
TRA_00000,49.5901794433594,17.2684707641602,17,
TRA_00000,49.5904083251953,17.2696895599365,18,
TRA_00000,49.5905799865723,17.2700595855713,19,
TRA_00000,49.5914688110352,17.2739505767822,20,
TRA_00000,49.5921401977539,17.2765598297119,21,
TRA_00000,49.5917701721191,17.2777805328369,22,
TRA_00000,49.5894813537598,17.2787609100342,23,
TRA_00001,49.5897903442383,17.2785091400146,1,
TRA_00001,49.5923156738281,17.2776584625244,2,
TRA_00001,49.5924682617188,17.2776699066162,3,
TRA_00001,49.5928382873535,17.2767505645752,4,
TRA_00001,49.5920791625977,17.2763595581055,5,
TRA_00001,49.5909309387207,17.2715301513672,6,
TRA_00001,49.5906105041504,17.2702903747559,7,
TRA_00001,49.5896186828613,17.2620105743408,8,
TRA_00001,49.5897216796875,17.2627296447754,9,
TRA_00001,49.5893287658691,17.2602291107178,10,
TRA_00001,49.5887298583984,17.2553806304932,11,
TRA_00001,49.5890998840332,17.2542991638184,12,
TRA_00001,49.591251373291,17.2504997253418,13,
TRA_00001,49.5917015075684,17.2500400543213,14,
TRA_00001,49.5892791748047,17.2450294494629,15,
TRA_00001,49.5849494934082,17.2421607971191,16,
TRA_00001,49.581298828125,17.2402191162109,17,
TRA_00001,49.5782012939453,17.2385597229004,18,
TRA_00001,49.5772933959961,17.2379608154297,19,
TRA_00001,49.5761375427246,17.2364921569824,20,
TRA_00001,49.5778007507324,17.2301998138428,21,
TRA_00002,49.5953712463379,17.2503890991211,1,
TRA_00002,49.5961990356445,17.2574100494385,2,
TRA_00002,49.5969200134277,17.2608890533447,3,
TRA_00002,49.5961303710938,17.2648696899414,4,
TRA_00002,49.5959815979004,17.2653999328613,5,
TRA_00002,49.5901794433594,17.2684707641602,6,
TRA_00002,49.5946388244629,17.2703304290771,7,
TRA_00002,49.5946083068848,17.2703895568848,8,
TRA_00002,49.5939292907715,17.2730102539063,9,
TRA_00002,49.5917701721191,17.2777805328369,10,
TRA_00002,49.5894813537598,17.2787609100342,11,
TRA_00003,49.595458984375,17.2180500030518,1,
TRA_00003,49.5959777832031,17.2233467102051,2,
TRA_00003,49.5960083007813,17.2237396240234,3,
TRA_00003,49.5964508056641,17.2285594940186,4,
TRA_00003,49.5965385437012,17.2312049865723,5,
TRA_00003,49.5965309143066,17.2315902709961,6,
TRA_00003,49.5962715148926,17.2380599975586,7,
TRA_00003,49.5952682495117,17.2423095703125,8,
TRA_00003,49.5958786010742,17.2456302642822,9,
TRA_00003,49.595760345459,17.246410369873,10,
TRA_00003,49.5953712463379,17.2503890991211,11,
TRA_00003,49.5961990356445,17.2574100494385,12,
TRA_00003,49.5969200134277,17.2608890533447,13,
TRA_00003,49.5961303710938,17.2648696899414,14,
TRA_00003,49.5959815979004,17.2653999328613,15,
TRA_00003,49.5901794433594,17.2684707641602,16,
TRA_00003,49.5946388244629,17.2703304290771,17,
TRA_00003,49.5946083068848,17.2703895568848,18,
TRA_00003,49.5939292907715,17.2730102539063,19,
TRA_00003,49.5917701721191,17.2777805328369,20,
TRA_00003,49.5894813537598,17.2787609100342,21,
TRA_00004,49.595458984375,17.2180500030518,1,
TRA_00004,49.5959777832031,17.2233467102051,2,
TRA_00004,49.5960083007813,17.2237396240234,3,
TRA_00004,49.5964508056641,17.2285594940186,4,
TRA_00004,49.5965385437012,17.2312049865723,5,
TRA_00004,49.5965309143066,17.2315902709961,6,
TRA_00004,49.5962715148926,17.2380599975586,7,
TRA_00004,49.5952682495117,17.2423095703125,8,
TRA_00004,49.5958786010742,17.2456302642822,9,
TRA_00004,49.595760345459,17.246410369873,10,
TRA_00005,49.5959281921387,17.2457103729248,1,
TRA_00005,49.5951881408691,17.2416896820068,2,
TRA_00005,49.5965690612793,17.2375602722168,3,
TRA_00005,49.5967178344727,17.2355003356934,4,
TRA_00005,49.5965690612793,17.2309608459473,5,
